P32477	P40897
Q06697	P89105
Q06697	P38439
Q06697	P38351
P25649	P53115
P54783	P48559
P54783	Q06324
P54783	P06168
P54783	P32266
P54783	P23644
P19524	P48559
P19524	Q06324
P19524	P29366
P19524	P36016
P19524	Q07532
P19524	P0CX49
P19524	P32324
P19524	P38314
P19524	Q03640
Q12046	P38241
Q12046	P52868
Q12046	P53333
Q12046	Q12309
Q12046	Q03654
Q12046	P40968
P32558	P89105
P53064	P89105
Q04636	P89105
P38351	P89105
P38439	P89105
Q12046	P36118
Q12046	P28320
Q12046	P53277
Q12046	Q04048
Q12046	P36048
Q12046	Q06091
Q12046	P43321
Q12046	Q02260
Q12046	P40018
Q12046	P33334
Q12046	Q12417
Q12046	P28004
Q12046	P53131
Q12046	P32523
Q12046	Q08963
Q12046	P21374
P40568	P53298
Q12143	P40568
P40568	Q12493
P40568	P39731
P40568	P47167
P40568	Q12748
P40568	Q02732
P40568	P38907
P40568	P38313
P53854	P36048
P53854	P33334
P53854	P32523
P53854	Q12309
Q06411	Q12046
Q12143	P38907
Q12143	P38313
P53919	P33322
P32558	P38439
P53064	P38439
Q04636	P38439
P38351	P38439
P47026	P47140
P47026	P11075
P47026	P14906
P47026	P25588
P47026	P38707
P04050	P23615
P16370	P04050
P40359	Q03406
P40359	Q12146
P40359	Q12488
P53064	P38351
Q04636	P38351
Q12143	P53298
Q12143	Q12493
Q12143	P39731
Q12143	P47167
Q12143	Q12748
Q12143	Q02732
P32558	Q04636
P32558	P38351
P32558	P38930
P32558	P43639
P32558	P19454
P32558	P15790
P32558	P53064
Q04636	P53064
P35189	P04050
P41896	P04050
P41895	P04050
Q06344	P20448
Q06344	Q06631
Q05541	Q08204
Q05541	Q12749
Q05541	P43124
Q05541	Q07913
Q05541	P38632
Q02776	P23644
P35189	P41895
P41896	P41895
P41895	P08518
P04050	P27692
P53201	P39995
P53201	Q05471
P53201	P53930
P53201	Q06337
P53201	P38811
P53201	Q12464
P53201	Q03940
P53201	Q08649
P53201	Q06706
P53201	P80428
P43587	P36047
P43587	P32598
Q06344	P48234
Q06344	P38882
Q06344	Q12499
Q06344	P40079
P38789	P53261
P38789	P37838
P38789	P40991
P38789	P40007
P38789	Q02892
P38789	Q08962
P38789	P10962
P38789	Q03532
P38789	Q04660
P38789	P36049
P38789	P32892
P38789	Q06218
P38789	Q08235
P46951	P37297
P53230	P19882
P53201	P38806
P38803	P38883
P38803	P53877
P38789	Q12024
P38789	Q12522
P38789	P35178
P38789	P40693
P38789	P49167
P38789	P38061
P38789	P14120
P38789	P0C2H6
P38789	P05740
P38789	P26784
P38789	P41805
P38789	P36160
P38789	P38805
P38789	P53136
P36159	Q03161
P36159	P08466
P36132	P46984
P36046	P23644
P36046	P40069
P36046	P00330
P36076	Q08438
P36076	P36024
P47168	Q01163
P47087	P39105
P47087	P39108
P47087	Q12372
P47087	P53389
P47077	P39990
P47077	P27476
P47077	P32501
Q12530	P41812
Q12208	P32523
Q12208	P07256
Q07844	Q12465
Q07844	P40395
Q07844	Q12088
Q07844	P22803
Q07844	P22217
Q07844	P11972
Q07844	P10964
Q07844	Q12300
Q07844	Q12471
Q07844	Q07418
Q07844	Q06704
Q07844	P38928
Q07844	P38285
Q06411	P28004
Q06411	P53131
Q06411	P32523
Q06411	P38241
Q06411	P52868
Q06411	Q12309
Q06411	Q03654
Q06411	P40968
Q06411	P32639
Q12530	P40993
Q12530	P38786
Q12530	P38208
Q12530	P53218
Q12530	P28005
Q12530	P38336
Q12530	P53833
P42842	P16474
P42842	P38088
P53846	P47118
Q03718	Q08204
Q03718	P43124
Q03718	P38632
Q03718	P40026
Q06411	P36118
Q06411	Q04048
Q06411	P36048
Q06411	Q06091
Q06411	P54999
Q06411	P43321
Q06411	P40018
Q06411	P33334
Q06411	Q12417
P46995	Q03323
P46995	P38337
P46995	P32657
P13856	P19073
P11433	P13856
P46995	P08518
P46995	P04050
P40010	Q12019
P40010	P38883
P40010	Q07896
P40010	P39744
Q06214	Q07457
P42842	P09734
P19073	P39011
P19073	P29366
P41697	P32944
P41832	P32944
P46995	P40480
P46995	P14832
P46995	P25357
P46995	P38262
P46995	P36124
P46995	P38439
P46995	P53685
P46995	P53096
P46995	P43132
P46995	P39706
P46995	Q03012
P46995	P38123
P19073	P13586
P19073	P40091
P19073	P48566
P19073	P21339
P19073	P07866
P19073	P45820
P19073	Q06648
P19073	Q04868
P19073	Q02884
P19073	Q02908
P19073	P42935
P19073	P48562
P19073	P13517
P19073	P28495
P19073	P41697
P19073	P41832
P48562	Q12107
P48562	P38820
P48562	Q03497
P46995	Q06697
P19073	P53088
P19073	P25644
P19073	P38247
P19073	P38820
P19073	P25302
P19073	Q04629
P19073	P46676
P19073	P24276
P19073	P23201
P19073	P33754
P48562	P42935
P48562	P34216
P48562	P25559
P48562	P38877
P48562	Q01454
P48562	P38843
P48562	P40955
P48562	Q12114
P48562	P29465
P48562	P41697
P48562	P41832
P48562	P39011
P48562	P39960
P48562	P29366
P48562	Q01389
P48562	P32447
P48562	P0CX82
P48562	P05740
P48562	Q12033
P48562	P32863
P48562	P23638
P48562	P40091
P48562	P33420
P48562	Q00772
P48562	P40578
P48562	P33417
P48562	P53125
P48562	Q04493
P48562	P53900
P48562	P41813
P48562	P34756
P48562	Q04868
P48562	P17123
P48562	P23201
P48562	P32566
P48562	Q08581
P48562	P34226
P48562	Q07657
P48562	P53165
P48562	O94742
P48562	P38429
P48562	P40161
P48562	P47050
P48562	P40454
P48562	P0C0V8
P48562	P38886
P48562	P0CX85
P48562	P04449
P40010	P34232
P34232	P39715
P39715	P0CX46
P39715	P40010
P48562	Q03067
P48562	P53923
P48562	P06838
P48562	Q06708
P48562	P40480
P48562	P53088
P48562	Q02647
P48562	P38255
P48562	P23202
P48562	P50102
P48562	P25302
P48562	P38123
P17157	P47124
P17157	P32477
P17157	Q01722
P17157	Q04952
P17157	P38631
P17157	P16151
P17157	P48562
P17157	P05374
P17157	Q07457
P17157	P41832
P17157	P39011
P17157	P39960
P17157	P29366
P17157	Q01389
P17157	P32629
P40091	P32944
P17157	P25648
P17157	P32914
P17157	Q06412
P17157	P38925
P17157	P39000
P17157	P20134
P17157	P38903
P17157	P51862
P17157	P38339
P17157	P13586
P17157	P48363
P17157	P05375
P17157	Q00402
P17157	Q00772
P17157	P50108
P17157	P42838
P17157	P40032
P17157	P38739
P17157	P54867
P17157	Q04121
P17157	Q05919
P17157	P34110
P17157	P38759
P17157	Q12045
P17157	P23642
P17157	Q12241
P17157	P39001
P17157	P17536
P17157	P38967
P17157	P25302
P17157	P40319
P17157	P38931
P46995	Q12692
P46995	Q04493
P46995	P53900
P46995	P31385
P46995	P25559
P46995	P53741
P46995	Q07457
P46995	P39011
P46995	Q12509
P17157	Q08268
P17157	P52553
P17157	P47173
P17157	P53289
P17157	P33199
P46995	Q06708
P46995	Q05471
P46995	P31376
P46995	P38633
P46995	P53266
P46995	P22214
P46995	P53064
P46995	P48565
P46995	Q03104
P46995	P48563
P46995	Q02796
Q05541	Q02516
Q08204	P39734
Q08204	P39955
P20052	P47075
P20052	P07270
P40454	P32944
Q03497	P32944
P23201	P32944
P46995	P38351
P46995	P89105
P46995	P53179
P46995	Q12093
P46995	Q03433
P46995	Q06337
P46995	Q12241
P38789	P36080
Q03718	P53044
Q03718	P50623
Q03718	Q12379
Q03718	P46679
Q03718	Q12306
Q03718	P39946
Q03718	Q06675
Q03718	P32828
Q03718	P38116
Q05541	Q06208
Q05541	P43123
Q05541	P53919
P38882	P39985
P42945	P38882
P53276	Q04305
P38882	P53276
Q06679	P53276
P53276	Q02931
P53276	P39985
P42945	P53276
Q04660	Q12024
P53261	Q04660
Q12046	P32639
Q06078	Q02354
P40362	Q06078
Q05946	Q06078
Q06078	P25635
Q06078	Q12220
P42945	Q04305
Q06679	P42945
P42945	Q02931
P42945	P39985
Q06679	P38882
P38882	Q04305
P38882	Q02931
P53261	Q12522
P41909	P35844
P38930	P53254
P53254	P43639
P53254	P19454
P53254	P15790
P53254	P25368
Q05946	Q02354
Q05946	P25635
Q05946	Q12220
P40362	Q02354
Q05946	P40362
P40362	P25635
P40362	Q12220
P53261	P53927
P53261	P33201
P53261	P43586
P53261	Q12024
P53261	P25582
P53261	P35178
P53261	P40693
P53261	P36049
P53261	P38771
P53261	P32892
P53261	Q03532
P53261	P10962
P53261	Q02892
P53261	Q08235
P53261	Q08962
P20447	P28007
P20447	P33322
Q06685	P27476
P27476	Q12499
P27476	P20447
P20447	P29311
P39935	P46655
P00958	P46655
P00958	P46672
P53261	Q07915
P53261	P38779
P53261	P40078
P53261	P53136
P53261	P40007
P20447	Q12460
P53336	Q04867
P53336	P32495
P53336	P33322
Q06685	P33322
P38882	P33322
P53064	P33322
P27476	P33322
Q12499	P33322
P28007	Q04867
P53336	P28007
P28007	Q07623
P28007	P32495
P28007	P33322
P20447	P32495
P53276	Q05022
P06103	P39730
P39744	Q05022
Q12176	P39744
Q05022	Q12176
Q12176	P39730
P32481	P39730
P36120	Q05022
P36120	Q12176
