complex_id	proteins
CORUM_4	Q09472;Q92793;Q92831;Q9Y6Q9
CORUM_10	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3
CORUM_12	Q86YV9;Q969F9;Q9UPZ3
CORUM_15	O15379;O60907;O75376;Q13227;Q92828;Q9BZK7
CORUM_32	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6
CORUM_36	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5
CORUM_50	P20339;Q15276;Q9UJ41
CORUM_58	O15379;O60907;Q13227;Q9BZK7;Q9Y618
CORUM_61	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769
CORUM_62	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5
CORUM_66	O60244;O75448;P10827;Q15648;Q71SY5;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0
CORUM_67	O00189;Q9UPM8;Q9Y587;Q9Y6B7
CORUM_81	P62877;P63208;Q14999;Q8N3Y1
CORUM_87	P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27
CORUM_93	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6
CORUM_96	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13
CORUM_98	P04637;Q00987;Q09472
CORUM_100	P28370;Q09028;Q12830;Q16576
CORUM_104	O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875
CORUM_112	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9
CORUM_114	O75971;Q13487;Q16533;Q5SXM2;Q92966
CORUM_117	P50148;P60033;P62873;Q9Y653
CORUM_118	P37287;Q14442;Q92535;Q9BRB3
CORUM_120	P01374;P36941;Q06643
CORUM_126	P17987;P40227;P48643;P49368;P50990;P50991;P78371;Q99832
CORUM_127	O14777;Q8NBT2;Q9BZD4;Q9HBM1
CORUM_129	P42575;P78560;Q9HB75
CORUM_138	P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0
CORUM_140	P25791;Q02577;Q86U70;Q9BXY8
CORUM_144	O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5
CORUM_149	O96019;P51532;P60709;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5
CORUM_162	P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7
CORUM_164	O60216;Q14683;Q8WVM7;Q9UQE7
CORUM_166	O60216;Q14683;Q8N3U4;Q9UQE7
CORUM_168	O14964;O75886;P42566
CORUM_169	O14964;P42566;Q92783
CORUM_181	O14818;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P49720;P49721;P55036;P60900;P62191;P62195;P62333;Q99436;Q9UNM6
CORUM_186	Q7L576;Q8IZP0;Q8WUW1;Q9Y2A7;Q9Y6W5
CORUM_189	O14497;O94805;O96019;P51531;P51532;P60709;P63261;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q969G3;Q96GM5
CORUM_190	O43684;O60566;Q12834;Q13257
CORUM_192	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q06323;Q99436;Q9UL46
CORUM_193	O00231;O00232;O00233;O00487;O14818;O43242;O75832;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P48556;P49720;P49721;P51665;P55036;P60900;P62191;P62195;P62333;Q06323;Q13200;Q15008;Q16401;Q99436;Q99460;Q9UL46;Q9UNM6
CORUM_194	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;P61289;Q99436
CORUM_218	O43513;O60244;O75448;O95402;Q15648;Q6P2C8;Q9NVC6;Q9ULK4
CORUM_219	P62877;Q13616;Q86VP6
CORUM_221	P62877;Q13617;Q86VP6
CORUM_222	P62877;Q13618;Q86VP6
CORUM_223	P62877;Q13619;Q86VP6
CORUM_224	P62877;Q13620;Q86VP6
CORUM_226	P63208;Q13309;Q13616
CORUM_227	P63208;Q13616;Q9Y297
CORUM_228	O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q9Y3C7
CORUM_229	O60244;O75586;P24863;P49336;Q13503;Q9BTT4;Q9ULK4
CORUM_234	O60264;Q9NRF9;Q9NRG0;Q9NRL2
CORUM_240	P38398;Q99708;Q9GZX5
CORUM_246	P40692;P54132;Q13472;Q9H9A7
CORUM_266	O75943;P35249;P35250;P40937;P40938
CORUM_271	O60671;O60921;Q99638
CORUM_274	O60671;O60921;O75943;P35249;P35250;P40937;P40938;Q99638
CORUM_278	P35249;P35250;P40937
CORUM_279	P35249;P35250;P35251;P40937;P40938
CORUM_282	O60216;O60264;O94776;O95983;Q09028;Q12873;Q13330;Q13547;Q14683;Q16576;Q8N3U4;Q8WVM7;Q92769;Q9NRL2;Q9UBB5;Q9UQE7
CORUM_283	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3
CORUM_285	P12004;P40692;P54277
CORUM_286	P12004;P43246;P52701
CORUM_287	O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4
CORUM_290	P12004;P40692;P43246;P54278
CORUM_291	P40692;P43246;P54278
CORUM_300	O43513;O60244;O75448;O75586;Q13503;Q6P2C8;Q9BTT4;Q9H944;Q9NVC6;Q9Y2W1;Q9Y2X0;Q9Y3C7
CORUM_301	O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q6P2C8;Q93074;Q9BTT4;Q9H944;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0;Q9Y3C7
CORUM_310	O95067;P06493;P12004;P14635;P24385;P38936
CORUM_311	P12004;P24385;P24941;P38936
CORUM_312	P11802;P12004;P24385;P38936
CORUM_313	P12004;P24385;P30281;P38936;Q00535
CORUM_322	P12956;P13010;P78527
CORUM_335	P23246;P43243;Q15233
CORUM_343	Q13326;Q14714;Q16585;Q16586;Q92629
CORUM_350	P49917;Q13426;Q96T60
CORUM_359	P49917;Q13426;Q9H9Q4
CORUM_362	P06746;P18887;P49916;Q96T60
CORUM_368	P07992;P43246;Q92889
CORUM_369	P40692;P43246;P52701;P54278
CORUM_370	P40692;P43246;P52701;P54277
CORUM_376	P12004;P40692;P43246;P52701;P54278
CORUM_387	P25205;P33991;P33992;P33993;P49736;Q14566
CORUM_390	P63208;Q13616;Q9UKT8
CORUM_391	P62877;Q13619;Q16531
CORUM_415	P40692;P54278;Q9UQ84
CORUM_424	P12004;P40692;Q9UQ84
CORUM_434	P35249;P35250;P35251;P38398;P40692;P43246;P52701;P54132
CORUM_435	P35249;P35250;P35251;P38398;P40692;Q13315
CORUM_436	P38398;P52701;Q92878
CORUM_441	O60244;O75448;P03372;Q15648;Q92830;Q93074;Q9NVC6;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y4A5
CORUM_466	P49768;Q92542;Q96BI3;Q9NZ42
CORUM_467	P49810;Q8WW43;Q92542;Q9NZ42
CORUM_468	P49810;Q92542;Q96BI3;Q9NZ42
